Date,Carrier,Tracking #,Order #,Delivery City,Star Rating,FeedbackCategory,Subcategory,Comment
Sun Feb 05 00:00:00 GMT 2023,ups,"	1Z1W1R130319643558","	null",,5,Thanks/Praise,Thanks/Praise,Fast shipping estimateðŸ˜Š Thank you so much!!!
Sun Feb 05 00:00:00 GMT 2023,MI,"	92419902712015573016294137","	null",CHICAGO; IL; US; 60618,1,No Package Received,No Package Received,"I did not receive the order. It says it was delivered, but I cannot find the package."
Sun Feb 05 00:00:00 GMT 2023,MI,"	92419902712015573016364915","	72349330",LAMBERTVILLE; MI; US; 48144,1,After Hours Delivery,After Hours Delivery,Why would they try to deliver on a Saturday? Itâ€™s an elementary school.
Sun Feb 05 00:00:00 GMT 2023,ups,"	1Z1W1R130319509159","	72324170",HACIENDA HTS; CA; US; 91745,5,No Comment,No Comment,No Comment
Sun Feb 05 00:00:00 GMT 2023,MI,"	92419902712015573016359553","	72347909",NAVARRE; FL; US; 32566,5,Thanks/Praise,Thanks/Praise,The books came quickly and the person that I ordered them from at scholastic was very helpful!
Sun Feb 05 00:00:00 GMT 2023,MI,"	92419902712015573016011970","	72234264",BERGEN; NY; US; 14416,1,No Package Received,No Package Received,I still donâ€™t have my order.
Sat Feb 04 00:00:00 GMT 2023,MI,"	92419902712015573015923274","	null",HOBOKEN; NJ; US; 07030,2,Stalled Tracking,Stalled Tracking,My package has been in the same location for 4 days!
Sat Feb 04 00:00:00 GMT 2023,MI,"	92419902712015573016104733","	null",CHICAGO; IL; US; 60631,1,After Hours Delivery,After Hours Delivery,Never received package.  School is closed at 8:00 p.m.
Sat Feb 04 00:00:00 GMT 2023,MI,"	92419902712015573016234508","	72307564",BRAINTREE; MA; US; 02184,1,Stalled Tracking,Stalled Tracking,Where is my package?? Lost track not updating!!!!
Sat Feb 04 00:00:00 GMT 2023,ups,"	1Z1W1R130319381948","	null",CHICAGO; IL; US; 60618,1,No Package Received,No Package Received,Nobody come to delivery. We at home everyday.
Sat Feb 04 00:00:00 GMT 2023,MI,"	92419902712015573016265670","	72317518",NEW ORLEANS; LA; US; 70131,5,Thanks/Praise,Thanks/Praise,Always on time and just in time for my students gift.
Fri Feb 03 00:00:00 GMT 2023,ups,"	1Z1W1R130319603798","	72373409",HIBBING; MN; US; 55746,5,Thanks/Praise,Thanks/Praise,Thank you
