Response Received Date,Interaction Id,Overall Experience-Value,Comments,Feedback Category,Subcategory,Survey Source
,Thu Jan 19 00:00:00 GMT 2167,5,No Comment,No Comment,No Comment,Narvar Shipping Survey
,2/5/2023 21:05,4,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
,2/7/2023 12:54,4,Parent Home Shipment,Parent Home Shipment,Parent Home Shipment,Post Delivery Survey
,2/6/2023 16:33,2,Teacher Home Shipment,Teacher Home Shipment,Teacher Home Shipment,Post Delivery Survey
,2/6/2023 16:26,5,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
,2/6/2023 15:11,5,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
,2/6/2023 14:29,5,Parent Home Shipment,Parent Home Shipment,Parent Home Shipment,Post Delivery Survey
,2/6/2023 12:27,2,Parent Home Shipment,Parent Home Shipment,Parent Home Shipment,Post Delivery Survey
,2/6/2023 12:18,5,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
,2/6/2023 12:18,4,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
,2/6/2023 11:25,5,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
,2/6/2023 10:07,5,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
,2/6/2023 8:32,1,Teacher Home Shipment,Teacher Home Shipment,Teacher Home Shipment,Post Delivery Survey
,2/6/2023 8:19,5,Parent Home Shipment,Parent Home Shipment,Parent Home Shipment,Post Delivery Survey
,2/6/2023 7:56,4,Parent Home Shipment,Parent Home Shipment,Parent Home Shipment,Post Delivery Survey
,2/6/2023 6:45,4,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
,2/6/2023 6:44,5,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
,2/5/2023 16:07,4,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
,2/5/2023 15:51,5,Teacher Home Shipment,Teacher Home Shipment,Teacher Home Shipment,Post Delivery Survey
,2/5/2023 15:20,5,Parent Home Shipment,Parent Home Shipment,Parent Home Shipment,Post Delivery Survey
,2/5/2023 15:15,5,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
,2/5/2023 11:11,5,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
,2/5/2023 7:33,5,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
,2/5/2023 6:39,4,Parent Home Shipment,Parent Home Shipment,Parent Home Shipment,Post Delivery Survey
,2/4/2023 20:31,5,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
,2/4/2023 19:54,4,Teacher Home Shipment,Teacher Home Shipment,Teacher Home Shipment,Post Delivery Survey
,2/4/2023 19:01,5,Parent Home Shipment,Parent Home Shipment,Parent Home Shipment,Post Delivery Survey
,2/4/2023 17:52,5,Teacher Home Shipment,Teacher Home Shipment,Teacher Home Shipment,Post Delivery Survey
,2/4/2023 17:30,5,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
,2/4/2023 12:09,5,Parent Home Shipment,Parent Home Shipment,Parent Home Shipment,Post Delivery Survey
,2/4/2023 11:49,5,Teacher School Shipment,Teacher School Shipment,Teacher School Shipment,Post Delivery Survey
